0x1bcf98 stub=0x4ea588 id=0xd712  b'open_log'
0x1bdd58 stub=0x4eccd8 id=0x78ad  b'SetSecToken:'
0x1bdda4 stub=0x4e7784 id=0x78c5  b'AddTouchEvent:'
0x1bde08 stub=0x4e8a90 id=0x78d6  b'AddAnoTouchEvent:'
0x1bde3c stub=0x4e6d78 id=0x78bc  b'Logout'
0x1bde5c stub=0x4e81a0 id=0x7932  b'EnabledConnector:'
0x1bde90 stub=0x4e9810 id=0x7946  b'InvokeCrash:'
0x1bdecc stub=0x4e65b0 id=0x7919  b'SetHWDevice'
0x1bdf50 stub=0x4e7430 id=0x798a  b'NeedRequestApkList'
0x1bdf68 stub=0x4e8bb0 id=0x799f  b'StartSecScan'
0x1bdf80 stub=0x4e84fc id=0xd2a9  b'IsEmulator2'
0x1bdf98 stub=0x4eab20 id=0xc4bb  b':'
0x1bdffc stub=0x4eaf98 id=0xd653  b'OpenVerificationLog'
0x1bec50 stub=0x4ec3d8 id=0x74bd  b'code'
0x1bfab8 stub=0x4ed274 id=0x4ae  b'tmp.xx.dat'
0x1c1200 stub=0x4e67e8 id=0x778b  b'dec_tss_info:%s'
0x1c1d3c stub=0x4e6fb4 id=0x86  b'}68\x04\x07r{\x031;mWH|\x87\xb1\x87\xffiG\xc3\xdb\x84\xa3tqa/s\x9f\x85\xdd\x1e\x1fz\xadC\x1f3R\xdb\xbb\xb03t\x19\x8a\x99\x0bp{\x92\xdaen\xce\x12\x8e\x8e\x17M\x92\x8e\x1e\xd18z\xc1\x9ef\x1b\xf4\xa7\x18\x90\xcc5\x88\xf6\xc4Ul\x9aE0\xb6c\x8b\xf7\x08\xc8<+\x93D\xa6\xd1C\x92-R\xf9\x11\xe6\xcda\xf9\x12\xcea\x8c\xdd@\x99T\xb8\xcfG\xaa\x19\x89\x14\x9d\x03\xc0'
0x1c1fa8 stub=0x4e6fb4 id=0x6e  b'app_key:'
0x1c9464 stub=0x4e94b0 id=0x3037  b'/data/data/%s/files'
0x1cbb6c stub=0x4ea468 id=0x649d  b'StartGP6'
0x1cbf4c stub=0x4e7310 id=0x60ed  b'StartGP3'
0x1cbf90 stub=0x4e67e8 id=0xb4df  b'AllowAPKCollect'
0x1cc218 stub=0x4e6d78 id=0x33fc  b'tablet'
0x1cc2ec stub=0x4e9a50 id=0xc060  b':NeedPop'
0x1d351c stub=0x4e65b0 id=0x7851  b'ASS_SDK_SIGDATA'
0x1d411c stub=0x4ed038 id=0x31c  b'libtersafeupdate2.so'
0x1d4430 stub=0x4e9270 id=0x82a1  b'/data/data/%s/files/libtersafeupdate2.so'
0x1d445c stub=0x4ec2b8 id=0x82cc  b'%s/libtersafeupdate2.so'
0x1d4494 stub=0x4ea468 id=0x15b5  b'%s/libtersafeupdate2.so'
0x1d4764 stub=0x4e70d4 id=0x1523  b'g_AllTssExportFunc'
0x1d48d4 stub=0x4e8854 id=0x1538  b'GetTssExportFunc2'
0x1d497c stub=0x4ecf18 id=0x3007  b'%s/%s'
0x1d4988 stub=0x4e66cc id=0x87f2  b'tss_up_flag.dat'
0x1d4f44 stub=0x4ebad8 id=0x7b9  b'game_id'
0x1d4f50 stub=0x4ec618 id=0x7c3  b'I'
0x1d50cc stub=0x4e9270 id=0x795  b'Ljava/lang/String;'
0x1d50f0 stub=0x4eca98 id=0x7c7  b'entry_id'
0x1d5118 stub=0x4e66cc id=0x7d2  b'uin_type'
0x1d5140 stub=0x4e7310 id=0x7dd  b'uin_int'
0x1d5168 stub=0x4e7e44 id=0x7e7  b'uin_str'
0x1d5190 stub=0x4e8970 id=0x7f1  b'app_id_type'
0x1d51b8 stub=0x4e9930 id=0x7ff  b'app_id_int'
0x1d51e0 stub=0x4ea7c8 id=0x80c  b'app_id_str'
0x1d55a0 stub=0x4eb658 id=0x819  b'world_id'
0x1d55c8 stub=0x4ec2b8 id=0x824  b'role_id'
0x1d5b34 stub=0x4ecdf8 id=0x82e  b'data'
0x1d633c stub=0x4e82c0 id=0xc2a3  b'gcloud'
0x1d63c4 stub=0x4eac3c id=0xc5c  b'com/tss/gamedemo/Game'
0x1d6780 stub=0x4eb2f8 id=0xb9a  b'init'
0x1d67a4 stub=0x4ebad8 id=0xba1  b'setuserinfo'
0x1d67c0 stub=0x4eca98 id=0xbaf  b'setuserinfoex'
0x1d67dc stub=0x4e6c5c id=0xbbf  b'setgamestatus'
0x1d67f8 stub=0x4e7e44 id=0xbcf  b'getsdkantidata'
0x1d6814 stub=0x4e9150 id=0xbe0  b'setsenddatatosvrcb'
0x1d6820 stub=0x4e9150 id=0xc44  b'(Ljava/lang/Object;)V'
0x1d6834 stub=0x4ea8e4 id=0xbf5  b'senddatatosdk'
0x1d6840 stub=0x4e8738 id=0xc3b  b'([BI)V'
0x1d6854 stub=0x4ebad8 id=0xc05  b'senddatatosvr'
0x1d6874 stub=0x4eccd8 id=0xc15  b'onruntimeinfo'
0x1d6894 stub=0x4e6e94 id=0xc25  b'hasMatchRate'
0x1d68a0 stub=0x4e7f64 id=0xc34  b'(I)I'
0x1d6b58 stub=0x4e71f4 id=0xb2f4  b'ob_local'
0x1d6ba4 stub=0x4ec738 id=0x218c  b'/sdcard/sdk'
0x1d6bb0 stub=0x4eccd8 id=0xb151  b'vm_rom.zip'
0x1d6c00 stub=0x4eb418 id=0x21df  b'/sdcard/Android/data/%s/files/%s'
0x1d6e74 stub=0x4e754c id=0xb103  b'a64_%d.dat'
0x1d6e90 stub=0x4e83e0 id=0xb110  b'a64_%d.sig'
0x1d6eb0 stub=0x4eb1d8 id=0xb0d5  b'a64.dat'
0x1d6ec8 stub=0x4ebd18 id=0xb0df  b'a64.sig'
0x1d7078 stub=0x4e754c id=0xb09f  b'ob_custom.zip'
0x1d7850 stub=0x4ea6a8 id=0xc06b  b'hot_fix.img'
0x1d81cc stub=0x4eab20 id=0xb133  b'ob_idle'
0x1d8eec stub=0x4ec078 id=0xb146  b'ob_abort'
0x1d8f48 stub=0x4ed274 id=0xb2e6  b'XTask_%s_%s'
0x1d9024 stub=0x4ecbb8 id=0xad04  b'ob_normal.zip'
0x1d9030 stub=0x4e6d78 id=0xad14  b'ob_normal_ver.zip'
0x1d903c stub=0x4e9930 id=0xad3b  b'ob_normal_64.zip'
0x1d9174 stub=0x4ea10c id=0xb12a  b'ace_ov'
0x1d9ba4 stub=0x4ebd18 id=0xacf7  b'ace_x_task'
0x1d9e9c stub=0x4e9930 id=0xad9f  b'builtin.zip'
0x1da1d0 stub=0x4ec618 id=0xbb  b'vm_main.img'
0x1da238 stub=0x4e65b0 id=0xc9  b'vm_x_task.img'
0x1da2a0 stub=0x4e84fc id=0xe5  b'vm_debug.img'
0x1da55c stub=0x4ebbf8 id=0xadbe  b'ob_x.zip'
0x1da568 stub=0x4e8854 id=0xadf4  b'ob_x_ace.zip'
0x1da574 stub=0x4ec858 id=0xadc9  b'ob_x_ver.zip'
0x1da580 stub=0x4e78a4 id=0xade6  b'ob_x_64.zip'
0x1da58c stub=0x4ead58 id=0xae15  b'ob_x_ace_64.zip'
0x1da908 stub=0x4eaa04 id=0xae76  b'ob_cdn1.zip'
0x1da92c stub=0x4ea588 id=0xaed6  b'ob_cs1.zip'
0x1da948 stub=0x4e6c5c id=0xafcf  b'ob_gs1.zip'
0x1da980 stub=0x4eccd8 id=0xae95  b'ob_cdn1_64.zip'
0x1da99c stub=0x4ec618 id=0xaef3  b'ob_cs1_64.zip'
0x1daa8c stub=0x4e9270 id=0xb11d  b'ob_'
0x1dba6c stub=0x4e6fb4 id=0xaea6  b'ob_cdn2.zip'
0x1dba80 stub=0x4eaa04 id=0xafa2  b'ob_cs2.zip'
0x1dba8c stub=0x4e7ae4 id=0xafdc  b'ob_gs2.zip'
0x1dba98 stub=0x4e9270 id=0xaec5  b'ob_cdn2_64.zip'
0x1dbaa4 stub=0x4eca98 id=0xafbf  b'ob_cs2_64.zip'
0x1dbab0 stub=0x4e9b6c id=0xaff9  b'ob_gs2_64.zip'
0x1dc084 stub=0x4e9930 id=0xb123  b'.img'
0x1de780 stub=0x4e7e44 id=0xb2ff  b'gen_vm_handler.img'
0x1e8654 stub=0x4ea22c id=0xb18f  b'memset'
0x1e866c stub=0x4eac3c id=0xb198  b'memcpy'
0x1e8684 stub=0x4eb658 id=0xb1a1  b'__aeabi_memclr'
0x1e869c stub=0x4ec978 id=0xb1b2  b'__aeabi_memclr4'
0x1e86ac stub=0x4e6d78 id=0xb1c4  b'__aeabi_memclr8'
0x1e86bc stub=0x4e81a0 id=0xb1d6  b'__aeabi_memcpy'
0x1e86cc stub=0x4e94b0 id=0xb1e7  b'__aeabi_memcpy4'
0x1e86dc stub=0x4ea8e4 id=0xb1f9  b'__aeabi_memcpy8'
0x1e86ec stub=0x4ebd18 id=0xb20b  b'__aeabi_memmove'
0x1e8704 stub=0x4ed154 id=0xb21d  b'__aeabi_idiv'
0x1e871c stub=0x4e71f4 id=0xb22c  b'__aeabi_uidiv'
0x1e8734 stub=0x4e83e0 id=0xb23c  b'__aeabi_set_errno'
0x1e874c stub=0x4ec3d8 id=0xb275  b'__modsi3'
0x1e8764 stub=0x4ed038 id=0xb280  b'__umodsi3'
0x1e877c stub=0x4e6d78 id=0xb28c  b'_Znaj'
0x1e8794 stub=0x4e7668 id=0xb294  b'_Znwj'
0x1e87a4 stub=0x4e7f64 id=0xb29c  b'_Znam'
0x1e87b4 stub=0x4e8854 id=0xb2a4  b'_Znwm'
0x1e87c4 stub=0x4e9150 id=0xb2ac  b'_ZdaPv'
0x1e87dc stub=0x4e9b6c id=0xb2b5  b'_ZdlPv'
0x1e8dd8 stub=0x4e8cd0 id=0xb17c  b'[VM64][%s][%s]%s'
0x1eded4 stub=0x4ecbb8 id=0x30cc  b'%s:%s'
0x1f35fc stub=0x4ec3d8 id=0xc4d1  b'ce:%s;%s'
0x1f850c stub=0x4e65b0 id=0x2bd  b'game_host'
0x1f85b8 stub=0x4e9150 id=0xea88  b'nj.cschannel.anticheatexpert.com'
0x1f866c stub=0x4e6904 id=0xea64  b'tyf.cschannel.anticheatexpert.com'
0x1f87fc stub=0x4eb898 id=0xeaab  b'180.109.156.92'
0x1f8808 stub=0x4ecbb8 id=0xeabc  b'36.155.240.19'
0x1f8814 stub=0x4e6d78 id=0xeacc  b'153.3.50.229'
0x1f8820 stub=0x4e7e44 id=0xeadb  b'119.45.69.203'
0x1f882c stub=0x4e9030 id=0xeaeb  b'14.22.9.201'
0x1f8838 stub=0x4e9fec id=0xeaf9  b'120.232.27.62'
0x1f8844 stub=0x4eb1d8 id=0xeb09  b'157.148.45.163'
0x1f8850 stub=0x4ec4f8 id=0xeb1a  b'106.55.209.88'
0x1f885c stub=0x4e66cc id=0xeb2a  b'139.186.105.110'
0x1f8868 stub=0x4e7ae4 id=0xeb3c  b'139.186.105.225'
0x1f8874 stub=0x4e8f10 id=0xeb4e  b'139.186.105.126'
0x1f8880 stub=0x4ea34c id=0xeb60  b'139.186.105.94'
0x1f888c stub=0x4eb658 id=0xeb71  b'42.81.179.246'
0x1f8898 stub=0x4ec858 id=0xeb81  b'111.30.185.235'
0x1f88a4 stub=0x4e6b40 id=0xeb92  b'220.194.120.73'
0x1f88b0 stub=0x4e7e44 id=0xeba3  b'109.244.170.205'
0x1f985c stub=0x4ec078 id=0x2aa  b'ALL'
0x1fccd8 stub=0x4ec738 id=0x2b0  b'cs_license'
0x20c1d8 stub=0x4eb658 id=0xb589  b'force_apk_collect'
0x20c40c stub=0x4e7f64 id=0xd2a4  b'G2'
0x20c69c stub=0x4e7310 id=0x2c9  b'comm.dat'
0x20c718 stub=0x4ecbb8 id=0x74c4  b'state:%08x,r:%d/%d/%d/%d/%d/%d/%d,p:%d/%d,%d'
0x20ea58 stub=0x4ec618 id=0x11f  b'gp4_2'
0x20eaec stub=0x4e95d0 id=0x723c  b'anti_ts2'
0x20ed3c stub=0x4eab20 id=0x7c77  b'report_bk'
0x20ef78 stub=0x4e9930 id=0xe44f  b'max_bkcnt'
0x20f618 stub=0x4ead58 id=0x304d  b'scan_loop2'
0x20f630 stub=0x4ebbf8 id=0x305a  b'update_loop'
0x215f4c stub=0x4e7784 id=0xec01  b'down.anticheatexpert.com'
0x215fb4 stub=0x4e95d0 id=0xec1c  b'dl.putdl.com'
0x21601c stub=0x4ea6a8 id=0xec2b  b'dl.timedl.com'
0x216098 stub=0x4ec078 id=0x1632  b'cdn_host'
0x216264 stub=0x4e7ae4 id=0x1658  b'ext_cdn_first'
0x21698c stub=0x4e7430 id=0x15ee  b'%s://%s/iedsafe/Client/%s'
0x216998 stub=0x4e9b6c id=0x1611  b'https'
0x2169a4 stub=0x4ea468 id=0x1619  b'android'
0x216ae4 stub=0x4e78a4 id=0xd9a6  b'https://%s/gamesafe/mobile/%s/%08X'
0x216c00 stub=0x4ea7c8 id=0x35c  b'config2.dat'
0x217138 stub=0x4e8854 id=0x340  b'config2.xml'
0x217324 stub=0x4e9810 id=0x1672  b'GAME'
0x217330 stub=0x4ec078 id=0x16fa  b'hash'
0x21733c stub=0x4e65b0 id=0x170d  b'%08X'
0x2174d4 stub=0x4e9fec id=0x1679  b'game'
0x217f28 stub=0x4eb778 id=0x36a  b'config3.dat'
0x2187c4 stub=0x4eab20 id=0xd96f  b'%s/config5.dat'
0x2187d0 stub=0x4e9270 id=0xd959  b'%s/test/config5.dat'
0x218f20 stub=0x4e9b6c id=0x173d  b'%s/%d/%s'
0x218f2c stub=0x4e8970 id=0x172d  b'%s/test/%d/%s'
0x2195cc stub=0x4e6d78 id=0x1714  b'0x%08x'
0x219648 stub=0x4e8cd0 id=0x1668  b'DEFAULT'
0x219654 stub=0x4ed038 id=0x1708  b'ct'
0x21989c stub=0x4ea7c8 id=0x1680  b'file'
0x2198b4 stub=0x4e9150 id=0x16d0  b'probability'
0x2198c0 stub=0x4e70d4 id=0x177b  b'gray'
0x2198e4 stub=0x4ea10c id=0x16de  b'A'
0x2198f0 stub=0x4ea588 id=0x16e2  b'B'
0x2198fc stub=0x4eaa04 id=0x16e6  b'a'
0x219908 stub=0x4eae78 id=0x16ea  b'b'
0x219914 stub=0x4eb658 id=0x1755  b'%u'
0x219920 stub=0x4e79c4 id=0x333  b'mrpcs.data'
0x219928 stub=0x4e7784 id=0x171d  b'%s/%d/%08X/%s'
0x219bb0 stub=0x4e70d4 id=0xcf77  b'ob_ace_gs'
0x219c50 stub=0x4ed154 id=0x15dd  b'!0x%08x|0x%08x'
0x219e60 stub=0x4eb2f8 id=0x889a  b'dl custom, name:%s, len:%d, crc:%08x, channel:%d'
0x219e98 stub=0x4e65b0 id=0x191  b'mrpcs'
0x21a058 stub=0x4e7f64 id=0x2d4  b'comm.zip'
0x21a0b0 stub=0x4e70d4 id=0x213f  b'sig5'
0x21a4d4 stub=0x4eaf98 id=0xcfaf  b'ob_ace_gs_%d.zip'
0x21a500 stub=0x4ec4f8 id=0xcfc2  b'ob_gs2_%d.zip'
0x21a834 stub=0x4e9810 id=0x34e  b'config3.xml'
0x21a960 stub=0x4eccd8 id=0x1769  b'code_size'
0x21a978 stub=0x4e6a20 id=0x1775  b'crc'
0x21a990 stub=0x4e78a4 id=0x1782  b'so'
0x21aebc stub=0x4e66cc id=0xcbea  b'rcv_by_main'
0x21d928 stub=0x4e81a0 id=0xd81e  b'cache_cus_fea'
0x21e2b4 stub=0x4ec4f8 id=0xd85a  b'custom_feature_%d'
0x21e2d0 stub=0x4e6b40 id=0xd86e  b'name=%s|size=%d|crc=0x%08x|mark=0x%08x'
0x21e370 stub=0x4ead58 id=0xd845  b'custom_feature_cnt'
0x21e6d8 stub=0x4e9390 id=0xd82e  b'gs_dl'
0x2208d0 stub=0x4ec978 id=0x9cfe  b'attv_objvm'
0x220984 stub=0x4e82c0 id=0x9cbf  b'various_opcode'
0x2209e8 stub=0x4eaf98 id=0x9ce7  b'various_opcode_objvm'
0x220a4c stub=0x4e7d24 id=0xe4fe  b'attest_scan_objvm'
0x221080 stub=0x4e8f10 id=0x30fa  b'%08X%08X%02X%02X%02X%02X%01X%01X%01X%01X%04X%04X%04X%04X%04X%04X%04X%08X'
0x221224 stub=0x4e7310 id=0x3145  b'%04X'
0x2212f0 stub=0x4e78a4 id=0x9d1a  b'struggle_task_objvm'
0x2213e4 stub=0x4e9150 id=0x9d30  b'config2_ctime_objvm'
0x22168c stub=0x4e66cc id=0xcd7a  b'commdat_value_objvm'
0x221aa4 stub=0x4e9390 id=0xe512  b'r2slot_extension_objvm'
0x221f50 stub=0x4eccd8 id=0x189  b'scan1'
0x2224d0 stub=0x4e9fec id=0x9ff9  b'https://down.anticheatexpert.com/iedsafe/Client/android/8899/71C1E6D7/donot_delete_me'
0x222500 stub=0x4e9270 id=0xa051  b'donot_delete_me'
0x224550 stub=0x4e82c0 id=0xc8e3  b'sec_data4'
0x224a24 stub=0x4eb898 id=0xc9db  b'RFC=%08x|'
0x226e68 stub=0x4e9930 id=0x1bf  b'screenshot'
0x2270d8 stub=0x4ec3d8 id=0x631  b'tcj_sshot.bin'
0x227168 stub=0x4e7d24 id=0x16  b'.tmp'
0x227218 stub=0x4e6c5c id=0x57f  b'abcd1234'
0x227544 stub=0x4e7e44 id=0x233f  b'libunity.so'
0x227550 stub=0x4e8df0 id=0x234d  b'libUE4.so'
0x22755c stub=0x4e9b6c id=0x2359  b'libglrenderer.so'
0x227600 stub=0x4ea7c8 id=0x1cc  b'sst_engine_module_name'
0x227694 stub=0x4ea6a8 id=0x5b3  b'tcj_screenshot_day_cnt_limit'
0x22843c stub=0x4e66cc id=0x12e  b'tcj'
0x22881c stub=0x4ed154 id=0x3e5  b'tss_tcj.dat'
0x2298a8 stub=0x4ec3d8 id=0x569  b'.xml'
0x2298c0 stub=0x4ecbb8 id=0x570  b'.MF'
0x229924 stub=0x4ed274 id=0x576  b'%s.zip'
0x22998c stub=0x4ea10c id=0x54a  b'AndroidManifest.xml'
0x22999c stub=0x4e6e94 id=0x51d  b'MANIFEST.MF'
0x22dcb8 stub=0x4ebe38 id=0x8138  b'opt_%s'
0x22e080 stub=0x4e6e94 id=0x199  b'mrpcs1'
0x22e164 stub=0x4e8bb0 id=0x2df  b'tcjcfg.dat'
0x22f800 stub=0x4e8a90 id=0x40a  b'tss_ano.dat'
0x230d48 stub=0x4e7668 id=0x44d0  b'cn.mc1.sq'
0x230d68 stub=0x4e83e0 id=0x44dc  b'com.muzhiwan.gamehelper'
0x230d88 stub=0x4ea10c id=0x44f6  b'pj.ishuaji.cheat'
0x230da8 stub=0x4eb658 id=0x4509  b'com.www.gamespeeder'
0x230dd0 stub=0x4ea7c8 id=0x30ac  b'armbin'
0x230df8 stub=0x4eb538 id=0x424c  b'binarm'
0x230e18 stub=0x4ecf18 id=0x451f  b'com.cih.game_cih'
0x230e38 stub=0x4e7430 id=0x4532  b'com.huang.hl'
0x230e58 stub=0x4e84fc id=0x4541  b'com.paojiao.youxia'
0x230e78 stub=0x4e9c8c id=0x4556  b'com.saitesoft.gamecheater'
0x230e98 stub=0x4ebbf8 id=0x4572  b'com.xiongmaoxia.gameassistant'
0x230eb8 stub=0x4e6fb4 id=0x4592  b'com.yx.youxia'
0x230ed8 stub=0x4e81a0 id=0x45a2  b'com.gmd.speedtime'
0x230f00 stub=0x4e9810 id=0x45b6  b'org.sbtools.gamespeed'
0x230f20 stub=0x4eb2f8 id=0x45ce  b'com.xiaojianjian.sw.app'
0x230f48 stub=0x4ed038 id=0x45e8  b'org.sbtools.master'
0x230f6c stub=0x4e7784 id=0x45fd  b'gamehacker'
0x230f98 stub=0x4e861c id=0x460a  b'com.cyjh.gundam'
0x230fc4 stub=0x4e9a50 id=0x461c  b'com.cyjh.mobileanjian'
0x230fe8 stub=0x4eb538 id=0x4634  b'com.jbbl.handjingling'
0x23100c stub=0x4ed038 id=0x464c  b'com.scriptelf'
0x231030 stub=0x4e71f4 id=0x465c  b'net.aisence.Touchelper'
0x231058 stub=0x4e8df0 id=0x4675  b'com.cyjh.gundam.service.ScriptService.p'
0x23107c stub=0x4eaf98 id=0x49b3  b'com.scriptelf.oneclickplay'
0x2310a0 stub=0x4ed038 id=0x49d0  b'com.steady.autosimulate'
0x2310c4 stub=0x4e7d24 id=0x49ea  b'com.bayviewtech.game.roach'
0x2310e8 stub=0x4e9dac id=0x4a07  b'com.ifengwoo.zyjdkj'
0x23110c stub=0x4eb658 id=0x4a1d  b'com.dr.nr'
0x231130 stub=0x4ec3d8 id=0x4a29  b'com.zdnewproject'
0x231154 stub=0x4ebd18 id=0x469f  b'com.diaobaosq'
0x231180 stub=0x4ecf18 id=0x46af  b'com.kascend.chushou.lu'
0x2311a4 stub=0x4e7ae4 id=0x46c8  b'com.leifeng.gametools'
0x2311c8 stub=0x4e95d0 id=0x46e0  b'com.dimonvideo.luckypatcher'
0x2311f4 stub=0x4eb778 id=0x46fe  b'InAppBillingService.LUCK'
0x231218 stub=0x4e65b0 id=0x4719  b'com.keramidas.TitaniumBackup'
0x23129c stub=0x4ec978 id=0x4772  b'com.mf.guagua.ttfwks'
0x2312c0 stub=0x4e7310 id=0x4789  b'com.huluxia.gametools'
0x2312ec stub=0x4e9930 id=0x47ab  b'xxAssistant'
0x231310 stub=0x4ea8e4 id=0x47b9  b'ui.robot.rotatedonate'
0x23133c stub=0x4e6904 id=0x4a3c  b'com.tgp.autologin'
0x231368 stub=0x4e7f64 id=0x4a50  b'com.uhaozu.autoapp'
0x23138c stub=0x4e96f0 id=0x4a65  b'cc.rs.gc'
0x2313b0 stub=0x4ea34c id=0x4a70  b'com.uhaozu.app'
0x2313d4 stub=0x4eb658 id=0x4a81  b'com.jym.mall'
0x2313f8 stub=0x4ec738 id=0x4a90  b'com.zhanghaodaren.m_wzz'
0x23141c stub=0x4e7430 id=0x4aaa  b'com.tsy.tsy'
0x231440 stub=0x4e83e0 id=0x4ab8  b'com.wanhaoba520.app'
0x231464 stub=0x4e9c8c id=0x4ace  b'com.daofeng.zuhaowan'
0x231488 stub=0x4eb658 id=0x4ae5  b'com.wuba.zhuanzhuan'
0x2314ac stub=0x4ecf18 id=0x4afb  b'com.bdkj.LightningGameRental'
0x2314d0 stub=0x4e81a0 id=0x4b1a  b'com.jj.jiasu'
0x2314fc stub=0x4e9270 id=0x4b29  b'com.speed.chick'
0x231520 stub=0x4ea6a8 id=0x4b3b  b'com.xh.kancn'
0x231544 stub=0x4eb778 id=0x4b4a  b'com.zx.a2_quickfox'
0x231568 stub=0x4ecf18 id=0x4b5f  b'com.github.shadowsocks'
0x23158c stub=0x4e7ae4 id=0x4b78  b'com.bige0.shadowsocksr'
0x2315b0 stub=0x4e96f0 id=0x4b91  b'co.solovpn'
0x2315d4 stub=0x4ea588 id=0x4b9e  b'com.fobwifi.transocks'
0x2315f8 stub=0x4ec078 id=0x4bb6  b'com.sticktoit'
0x23161c stub=0x4ed274 id=0x4bc6  b'bin.mt.plus'
0x231648 stub=0x4e71f4 id=0x4bd4  b'com.speedsoftware.rootexplorer'
0x231978 stub=0x4e7ae4 id=0x4d08  b'/dev/'
0x231998 stub=0x4ec4f8 id=0x425a  b'/system/'
0x2319b4 stub=0x4e83e0 id=0x4d10  b'com.ijinshan.duba'
0x2319d0 stub=0x4e9a50 id=0x4d24  b'com.lbe.security'
0x2319ec stub=0x4eaf98 id=0x4d37  b'com.qihoo'
0x231a08 stub=0x4eac3c id=0x4d98  b'dalvik'
0x231a24 stub=0x4eb658 id=0x4da1  b'hook'
0x231a44 stub=0x4ebe38 id=0x4da8  b'libhelpertool'
0x231a60 stub=0x4ed038 id=0x4db8  b'libhhmspy'
0x231a7c stub=0x4e6d78 id=0x4dc4  b'libooenv'
0x231a98 stub=0x4e79c4 id=0x4dcf  b'libooSpeeder'
0x231ab4 stub=0x4e8a90 id=0x4dde  b'libsubstrate'
0x231ad0 stub=0x4e9b6c id=0x4ded  b'libxxAndroidLoader'
0x231aec stub=0x4eb2f8 id=0x4e02  b'libxxdvm'
0x231b08 stub=0x4ebf58 id=0x4e0d  b'libxxghost'
0x231b24 stub=0x4ebd18 id=0x4d43  b'com.android.vndk'
0x231b40 stub=0x4e8a90 id=0x61ca  b'com.google.android.trichromelibrary'
0x231b5c stub=0x4e94b0 id=0x9c6b  b'com.android.chrome'
0x231b78 stub=0x4ed274 id=0x4d56  b'com.huawei.webview'
0x231b94 stub=0x4e79c4 id=0x4d6b  b'com.google.android.webview'
0x231bb4 stub=0x4e9a50 id=0x4d88  b'WebViewGoogle'
0x2342e8 stub=0x4ec858 id=0x1701  b'type'
0x23430c stub=0x4ec858 id=0x169d  b'size'
0x234330 stub=0x4ed038 id=0x16a4  b'keywords'
0x235138 stub=0x4eb0b8 id=0x7448  b'%s_%d'
0x2356c0 stub=0x4ecdf8 id=0x9d66  b'white_pkg_cert_cnt'
0x2356f8 stub=0x4e754c id=0x9d7b  b'white_pkg_cert_%d'
0x23596c stub=0x4e6c5c id=0x16af  b'modules'
0x237e20 stub=0x4e9a50 id=0x7754  b'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ'
0x237ef4 stub=0x4e7e44 id=0x4027  b'rb'
0x237f44 stub=0x4e8854 id=0x4030  b'wb'
0x238f84 stub=0x4e8bb0 id=0xcf8f  b'libanort.so'
0x238f9c stub=0x4e9c8c id=0x2292  b'libtprt.so'
0x238fb8 stub=0x4e9b6c id=0xcf9d  b'unwind_xx_ioctl'
0x23c1b8 stub=0x4eb538 id=0x4184  b'allow_hw'
0x23dc4c stub=0x4ec078 id=0xc91a  b'IsRoot=%d|RootReason=%s|IsNeedReqApkList=%d|'
